question,label
순수 딸기 바나나 우유 드실분,O O O O S-COMMENT
순수 망고 바나나 우유 드실분,O O O O S-COMMENT
아이스 상그리아 유자 티 드실분,O O O O S-COMMENT
순수 딸기 바나나 요거트 드실분,O O O O S-COMMENT
순수 망고 바나나 요거트 드실분,O O O O S-COMMENT
슈 앤 딸기 스무디 드실분,O O O O S-COMMENT
슈 앤 망고 스무디 드실분,O O O O S-COMMENT
플레인 밀크 아이스크림 콘 드실분,O O O O S-COMMENT
플레인 밀크 아이스크림 컵 드실분,O O O O S-COMMENT
딸기 초코 생크림 오믈렛 드실분,O O O O S-COMMENT
생크림 딸기 망고 와플 드실분,O O O O S-COMMENT
딸기앤초코 메리 스노우 빙수 드실분,O O O O S-COMMENT
딸기앤피스타치오 메리 스노우 빙수 드실분,O O O O S-COMMENT
트리플 초코 스노우 빙수 드실분,O O O O S-COMMENT
트리플 치즈 스노우 빙수 드실분,O O O O S-COMMENT
더블 그린티 스노우 빙수 드실분,O O O O S-COMMENT
콜드브루 바닐라 젤라또 라떼 드실분,O O O O S-COMMENT
라즈베리 골드 아이스 티 드실분,O O O O S-COMMENT
리치 레드 아이스 티 드실분,O O O O S-COMMENT
초콜릿 쿠키 젤라또 프라페노 드실분,O O O O S-COMMENT
자허 토르테 휘핑크림 포함 드실분,O O O O S-COMMENT
베리 까망베르 치즈 케이크 드실분,O O O O S-COMMENT
어니언 햄 모짜렐라 파니니 드실분,O O O O S-COMMENT
블랙 티 잉글리쉬 블랙퍼스트 드실분,O O O O S-COMMENT
허브 티 쟈스민 플라워 드실분,O O O O S-COMMENT
허브 티 베이비 그린티 드실분,O O O O S-COMMENT
허니 바나나 그릭 요거트 드실분,O O O O S-COMMENT
칠리 소시지 바게트 샌드위치 드실분,O O O O S-COMMENT
할라피뇨 스테이크 바게트 샌드위치 드실분,O O O O S-COMMENT
스트로베리 초콜릿 생크림 파티팩 드실분,O O O O S-COMMENT
프렌지 허니 크레이프 파티팩 드실분,O O O O S-COMMENT
딸기 레어 치즈 파티팩 드실분,O O O O S-COMMENT
제주 선셋 감귤 크러쉬 드실분,O O O O S-COMMENT
머스캣 민트 티 토닉 드실분,O O O O S-COMMENT
패션 망고 티 펀치 드실분,O O O O S-COMMENT
하동 말차 펌 크림티 드실분,O O O O S-COMMENT
흑당 펄 밀크 그라니따 드실분,O O O O S-COMMENT
흑당 펄 콜드브루 라떼 드실분,O O O O S-COMMENT
퍼스트 브레이크 잉글리시 브렉퍼스트 드실분,O O O O S-COMMENT
오렌지 보스 루이보스 오렌지 드실분,O O O O S-COMMENT
프루티 하동 머스캣 그린티 드실분,O O O O S-COMMENT
클래식 햄 로제 리소토 드실분,O O O O S-COMMENT
화이트 트러플 오일 크로크무슈 드실분,O O O O S-COMMENT
치킨 살사 랩 샌드위치 드실분,O O O O S-COMMENT
애플 시나몬 허니 브레드 드실분,O O O O S-COMMENT
크런치 아몬드 초콜릿 브라운 드실분,O O O O S-COMMENT
크런치 아몬드 초콜릿 다크 드실분,O O O O S-COMMENT
카라멜 앤 치즈 팝콘 드실분,O O O O S-COMMENT
피오르 디 라떼 젤라또 드실분,O O O O S-COMMENT
스파이시 치킨 랜치 오리지널 드실분,O O O O S-COMMENT
스파이시 치킨 랜치 골드링 드실분,O O O O S-COMMENT
스파이시 치킨 랜치 치즈롤 드실분,O O O O S-COMMENT
스파이시 치킨 랜치 씬 드실분,O O O O S-COMMENT
핫 치킨 바베큐 오리지널 드실분,O O O O S-COMMENT
핫 치킨 바베큐 골드링 드실분,O O O O S-COMMENT
핫 치킨 바베큐 치즈롤 드실분,O O O O S-COMMENT
핫 치킨 바베큐 씬 드실분,O O O O S-COMMENT
비프 앤 에그 샌드위치 드실분,O O O O S-COMMENT
오레오 쿠키 앤 밀크 드실분,O O O O S-COMMENT
오레오 쿠키 앤 카라멜 드실분,O O O O S-COMMENT
오레오 쿠키 앤 크림치즈 드실분,O O O O S-COMMENT
리얼 망고 요거티 크러쉬 드실분,O O O O S-COMMENT
망고 쥬얼리 자몽 크러쉬 드실분,O O O O S-COMMENT
실크 리얼 망고 빙수 드실분,O O O O S-COMMENT
브라운슈가 치즈폼 쿠키 밀크티 드실분,O O O O S-COMMENT
브라운 슈가 치즈폼 스무디 드실분,O O O O S-COMMENT
브라운 슈가 쥬얼리 밀크티 드실분,O O O O S-COMMENT
커피 밀크티 크러쉬 펄 드실분,O O O O S-COMMENT
커피 밀크티 크러쉬 밀크폼 드실분,O O O O S-COMMENT
바닐라 크림 콜드 브루 드실분,O O O O S-COMMENT
콜드 폼 콜드 브루 드실분,O O O O S-COMMENT
단호박 라떼 위드 샷 드실분,O O O O S-COMMENT
아이스 블랙 글레이즈드 라떼 드실분,O O O O S-COMMENT
아이스 라벤더 카페 브레베 드실분,O O O O S-COMMENT
아이스 스타벅스 돌체 라떼 드실분,O O O O S-COMMENT
아이스 화이트 초콜릿 모카 드실분,O O O O S-COMMENT
바닐라 스타벅스 더블 샷 드실분,O O O O S-COMMENT
아이스 블론드 리스트레토 마키아또 드실분,O O O O S-COMMENT
카라멜 스타벅스 더블 샷 드실분,O O O O S-COMMENT
커피 스타벅스 더블 샷 드실분,O O O O S-COMMENT
헤이즐넛 스타벅스 더블 샷 드실분,O O O O S-COMMENT
이천 햅쌀 커피 프라푸치노 드실분,O O O O S-COMMENT
화이트 초콜릿 모카 프라푸치노 드실분,O O O O S-COMMENT
그린 티 크림 프라푸치노 드실분,O O O O S-COMMENT
이천 햅쌀 크림 프라푸치노 드실분,O O O O S-COMMENT
제주 까망 크림 프라푸치노 드실분,O O O O S-COMMENT
제주 말차샷 크림 프라푸치노 드실분,O O O O S-COMMENT
제주 쑥떡 크림 프라푸치노 드실분,O O O O S-COMMENT
초콜릿 크림 칩 프라푸치노 드실분,O O O O S-COMMENT
화이트 딸기 크림 프라푸치노 드실분,O O O O S-COMMENT
망고 패션 후르츠 블렌디드 드실분,O O O O S-COMMENT
매직 팝 스플래쉬 피지오 드실분,O O O O S-COMMENT
블랙 티 레모네이드 피지오 드실분,O O O O S-COMMENT
아이스 제주 유자 탱고티 드실분,O O O O S-COMMENT
제주 유자 탱고 티 드실분,O O O O S-COMMENT
그랜마 애플 블랙 티 드실분,O O O O S-COMMENT
아이스 그랜마 애플 블랙티 드실분,O O O O S-COMMENT
아이스 라임 패션 티 드실분,O O O O S-COMMENT
아이스 민트 블렌드 티 드실분,O O O O S-COMMENT
아이스 얼 그레이 티 드실분,O O O O S-COMMENT
아이스 잉글리쉬 브렉퍼스트 티 드실분,O O O O S-COMMENT
아이스 제주 유기 녹차 드실분,O O O O S-COMMENT
아이스 캐모마일 블렌드 티 드실분,O O O O S-COMMENT
아이스 히비스커스 블렌드 티 드실분,O O O O S-COMMENT
자몽 허니 블랙 티 드실분,O O O O S-COMMENT
썸머 시트러스 소르베 그린티 드실분,O O O O S-COMMENT
썸머 시트러스 아이스 그린티 드실분,O O O O S-COMMENT
아이스 자몽 허니 블랙티 드실분,O O O O S-COMMENT
토마토 라임 그린 티 드실분,O O O O S-COMMENT
아이스 그린 티 라떼 드실분,O O O O S-COMMENT
아이스 제주 말차샷 라떼 드실분,O O O O S-COMMENT
아이스 차이 티 라떼 드실분,O O O O S-COMMENT
제주 노랑 고구마 라떼 드실분,O O O O S-COMMENT
부산 레드 온더 비치 드실분,O O O O S-COMMENT
아이스 와일드 베리 플로터 드실분,O O O O S-COMMENT
아이스 제주 까망 라떼 드실분,O O O O S-COMMENT
매콤 소시지 불고기 베이크 드실분,O O O O S-COMMENT
다크 초콜릿 칩 머핀 드실분,O O O O S-COMMENT
월넛 크림 치즈 베이글 드실분,O O O O S-COMMENT
올리브 베이컨 플랫 브레드 드실분,O O O O S-COMMENT
리코타 멜팅 치즈 케이크 드실분,O O O O S-COMMENT
블랙 쿠키 치즈 케이크 드실분,O O O O S-COMMENT
블루베리 쿠키 치즈 케이크 드실분,O O O O S-COMMENT
제주 감귤 치즈 케이크 드실분,O O O O S-COMMENT
진한 녹차 생크림 케이크 드실분,O O O O S-COMMENT
진한 얼그레이 생크림 케이크 드실분,O O O O S-COMMENT
제주 녹차 티라미수 아일랜드 드실분,O O O O S-COMMENT
촉촉 초콜릿 생크림 케이크 드실분,O O O O S-COMMENT
세븐 레이어 가나슈 케이크 드실분,O O O O S-COMMENT
청담스타 얼그레이 밀크 케이크 드실분,O O O O S-COMMENT
청담스타 오 허니 케이크 드실분,O O O O S-COMMENT
크레이프 에멘탈 치즈 케이크 드실분,O O O O S-COMMENT
치킨 커틀렛 아보카도 샌드위치 드실분,O O O O S-COMMENT
콥 앤 요거트 샐러드 드실분,O O O O S-COMMENT
머쉬룸 치즈 클럽 샌드위치 드실분,O O O O S-COMMENT
멕시칸 브리또 밀 박스 드실분,O O O O S-COMMENT
바비큐 치킨 치즈 치아바타 드실분,O O O O S-COMMENT
바질 펜네 밀 박스 드실분,O O O O S-COMMENT
베이컨 치즈 치아바타 모닝박스 드실분,O O O O S-COMMENT
어니언 베이컨 체다치즈 파니니 드실분,O O O O S-COMMENT
에그 베이컨 치즈 베이글 드실분,O O O O S-COMMENT
잉글리쉬 머핀 밀 박스 드실분,O O O O S-COMMENT
제주 당근 크림치즈 샌드위치 드실분,O O O O S-COMMENT
크랜베리 치킨 치즈 샌드위치 드실분,O O O O S-COMMENT
탄두리 치킨 토마토 샌드위치 드실분,O O O O S-COMMENT
터키 멜팅 치즈 샌드위치 드실분,O O O O S-COMMENT
초콜릿 월넛 돔 쿠키 드실분,O O O O S-COMMENT
로스티드 아몬드 앤 초콜릿 드실분,O O O O S-COMMENT
제주 오름 초콜릿 세트 드실분,O O O O S-COMMENT
구워서 바삭한 코코넛 칩 드실분,O O O O S-COMMENT
다크 초콜릿 카우보이 쿠키 드실분,O O O O S-COMMENT
버터 가득 라이스 쿠키 드실분,O O O O S-COMMENT
버터 라이스 쿠키 틴백 드실분,O O O O S-COMMENT
화이트 초콜릿 카우보이 쿠키 드실분,O O O O S-COMMENT
자바 칩 바닐라 아포가토 드실분,O O O O S-COMMENT
자바 칩 초콜릿 아포가토 드실분,O O O O S-COMMENT
아포가토 콜드브루 바닐라 모카 드실분,O O O O S-COMMENT
민트 초코렛 칩 플랫치노 드실분,O O O O S-COMMENT
이디야키즈 유기농 곡물바 딸기 드실분,O O O O S-COMMENT
레몬 유자 캐모마일 티 드실분,O O O O S-COMMENT
화이트 포레스트 아이스 블렌디드 드실분,O O O O S-COMMENT
블랙 포레스트 아이스 블렌디드 드실분,O O O O S-COMMENT
망고 바나나 아이스 블렌디드 드실분,O O O O S-COMMENT
유자 캐모마일 아이스 블렌디드 드실분,O O O O S-COMMENT
후레쉬 망고 아이스 블렌디드 드실분,O O O O S-COMMENT
퓨어 바닐라 아이스 블렌디드 드실분,O O O O S-COMMENT
햄 치즈 잉글리쉬 머핀 드실분,O O O O S-COMMENT
쁘띠 까망베르 치즈 케익 드실분,O O O O S-COMMENT
크랜베리 아몬드 치킨 샌드위치 드실분,O O O O S-COMMENT
모짜렐라 치킨 머쉬룸 샌드위치 드실분,O O O O S-COMMENT
매콤 치킨 치즈 샌드위치 드실분,O O O O S-COMMENT
에그 잼 사라다 샌드위치 드실분,O O O O S-COMMENT
에그 햄 치즈 베이글 드실분,O O O O S-COMMENT
황금 보리 초코 건빵 드실분,O O O O S-COMMENT
라이스 리얼 초코칩 쿠키 드실분,O O O O S-COMMENT
자바 초코렛 칩 스노우 드실분,O O O O S-COMMENT
프리미엄 머쉬룸 베이컨 샌드위치 드실분,O O O O S-COMMENT
크림 치즈 캐롯 케익 드실분,O O O O S-COMMENT
인절미 크림 쉬폰 라운드 드실분,O O O O S-COMMENT
더블 베리 치즈 라운드 드실분,O O O O S-COMMENT
아이스 멜로한 연유 라떼 드실분,O O O O S-COMMENT
아이스 멜로우 크림 라떼 드실분,O O O O S-COMMENT
아이스 시나몬 진저 티 드실분,O O O O S-COMMENT
흑당 가득 품은 호떡 드실분,O O O O S-COMMENT
미니 통밀 후르츠 브레드 드실분,O O O O S-COMMENT
몬스터 하와이안 쉬림프 피자 드실분,O O O O S-COMMENT
골드 이탈리안 치즈 피자 드실분,O O O O S-COMMENT
골드 스테이크 불갈비 피자 드실분,O O O O S-COMMENT
골드 하와이언 쉬림프 피자 드실분,O O O O S-COMMENT
골드 쉬림프 깐풍 피자 드실분,O O O O S-COMMENT
이탈리안 치즈 피자 바이트 드실분,O O O O S-COMMENT
스테이크 불갈비 피자 바이트 드실분,O O O O S-COMMENT
치킨 텐더 피자 바이트 드실분,O O O O S-COMMENT
하와이안 쉬림프 피자 바이트 드실분,O O O O S-COMMENT
쉬림프 깐풍 피자 바이트 드실분,O O O O S-COMMENT
리얼 시카고 오리지널 피자 드실분,O O O O S-COMMENT
토핑 치즈 추가 점보 드실분,O O O O S-COMMENT
웨스턴 에그 앤 치즈 드실분,O O O O S-COMMENT
베이컨 에그 앤 치즈 드실분,O O O O S-COMMENT
스테이크 에그 앤 치즈 드실분,O O O O S-COMMENT
솔티드 카라멜 앤 피넛 드실분,O O O O S-COMMENT
더 쫄깃한 치즈 츄이스티 드실분,O O O O S-COMMENT
소시지 인 치즈 베이글 드실분,O O O O S-COMMENT
치즈 인 치즈 베이글 드실분,O O O O S-COMMENT
그릭슈바인 소시지로 만든 핫도그 드실분,O O O O S-COMMENT
폼나는 아이스 그린티 라떼 드실분,O O O O S-COMMENT
아이스 맨하탄 드립 커피 드실분,O O O O S-COMMENT
흑미 찹쌀 토스트 식빵 드실분,O O O O S-COMMENT
달콤한 흑당 꿀 도넛 드실분,O O O O S-COMMENT
생크림 만난 마롱 브레드 드실분,O O O O S-COMMENT
생크림 듬뿍 망고 패스트리 드실분,O O O O S-COMMENT
요거크림 듬뿍 블루베리 패스트리 드실분,O O O O S-COMMENT
탕종법으로 만든 쫄깃한 식빵 드실분,O O O O S-COMMENT
겉은바삭 속은 촉촉한 플레인스콘 드실분,O O O O S-COMMENT
겉은바삭 속은 촉촉한 쇼콜라스콘 드실분,O O O O S-COMMENT
사르르 초코 생크림 쉬폰 드실분,O O O O S-COMMENT
부드러운 고구마 라떼 케이크 드실분,O O O O S-COMMENT
진한 우유 생크림 케이크 드실분,O O O O S-COMMENT
초코 골드 레이어 케이크 드실분,O O O O S-COMMENT
오! 해피 한라봉앤오렌지 케이크 드실분,O O O O S-COMMENT
정말 진한 순치즈 케이크 드실분,O O O O S-COMMENT
싱그러운 치킨텐더 그린 랩 드실분,O O O O S-COMMENT
단호박 리코타 과일 샐러드 드실분,O O O O S-COMMENT
아이스 로얄 밀크티 라떼 드실분,O O O O S-COMMENT
쿠키 앤 크림 카라멜 드실분,O O O O S-COMMENT
곰돌이 푸 흑당 생크림 드실분,O O O O S-COMMENT
메가에이드 레몬 자몽 라임 드실분,O O O O S-COMMENT
소고기 가라아게 앤 칠리소스 드실분,O O O O S-COMMENT
단호박 생선탕수 앤 키위소스 드실분,O O O O S-COMMENT
제주도 빙떡 앤 귤간장소스 드실분,O O O O S-COMMENT
더블 체다 함박 스테이크 드실분,O O O O S-COMMENT
콰트로 치즈 빠네 파스타 드실분,O O O O S-COMMENT
바질 크림 빠네 파스타 드실분,O O O O S-COMMENT
시리얼 옥수수 그래놀라 코코넛 드실분,O O O O S-COMMENT
산마늘 명이나물 장아찌 초절임 드실분,O O O O S-COMMENT
샌드위치 햄 치즈 채소 드실분,O O O O S-COMMENT
아이스 민트 초콜릿 라떼 나눔합니다,O O O O S-COMMENT
쿠키 앤 크림 샌디 나눔합니다,O O O O S-COMMENT
피넛 버터 초코 라떼 나눔합니다,O O O O S-COMMENT
피넛 버터 카페 라떼 나눔합니다,O O O O S-COMMENT
피넛 버터 초코 프라페 나눔합니다,O O O O S-COMMENT
피넛 버터 카페 프라페 나눔합니다,O O O O S-COMMENT
순수 딸기 바나나 우유 나눔합니다,O O O O S-COMMENT
순수 망고 바나나 우유 나눔합니다,O O O O S-COMMENT
아이스 상그리아 유자 티 나눔합니다,O O O O S-COMMENT
순수 딸기 바나나 요거트 나눔합니다,O O O O S-COMMENT
순수 망고 바나나 요거트 나눔합니다,O O O O S-COMMENT
슈 앤 딸기 스무디 나눔합니다,O O O O S-COMMENT
슈 앤 망고 스무디 나눔합니다,O O O O S-COMMENT
플레인 밀크 아이스크림 콘 나눔합니다,O O O O S-COMMENT
플레인 밀크 아이스크림 컵 나눔합니다,O O O O S-COMMENT
딸기 초코 생크림 오믈렛 나눔합니다,O O O O S-COMMENT
생크림 딸기 망고 와플 나눔합니다,O O O O S-COMMENT
딸기앤초코 메리 스노우 빙수 나눔합니다,O O O O S-COMMENT
딸기앤피스타치오 메리 스노우 빙수 나눔합니다,O O O O S-COMMENT
트리플 초코 스노우 빙수 나눔합니다,O O O O S-COMMENT
트리플 치즈 스노우 빙수 나눔합니다,O O O O S-COMMENT
더블 그린티 스노우 빙수 나눔합니다,O O O O S-COMMENT
콜드브루 바닐라 젤라또 라떼 나눔합니다,O O O O S-COMMENT
라즈베리 골드 아이스 티 나눔합니다,O O O O S-COMMENT
리치 레드 아이스 티 나눔합니다,O O O O S-COMMENT
초콜릿 쿠키 젤라또 프라페노 나눔합니다,O O O O S-COMMENT
자허 토르테 휘핑크림 포함 나눔합니다,O O O O S-COMMENT
베리 까망베르 치즈 케이크 나눔합니다,O O O O S-COMMENT
어니언 햄 모짜렐라 파니니 나눔합니다,O O O O S-COMMENT
블랙 티 잉글리쉬 블랙퍼스트 나눔합니다,O O O O S-COMMENT
허브 티 쟈스민 플라워 나눔합니다,O O O O S-COMMENT
허브 티 베이비 그린티 나눔합니다,O O O O S-COMMENT
허니 바나나 그릭 요거트 나눔합니다,O O O O S-COMMENT
칠리 소시지 바게트 샌드위치 나눔합니다,O O O O S-COMMENT
할라피뇨 스테이크 바게트 샌드위치 나눔합니다,O O O O S-COMMENT
스트로베리 초콜릿 생크림 파티팩 나눔합니다,O O O O S-COMMENT
프렌지 허니 크레이프 파티팩 나눔합니다,O O O O S-COMMENT
딸기 레어 치즈 파티팩 나눔합니다,O O O O S-COMMENT
제주 선셋 감귤 크러쉬 나눔합니다,O O O O S-COMMENT
머스캣 민트 티 토닉 나눔합니다,O O O O S-COMMENT
패션 망고 티 펀치 나눔합니다,O O O O S-COMMENT
하동 말차 펌 크림티 나눔합니다,O O O O S-COMMENT
흑당 펄 밀크 그라니따 나눔합니다,O O O O S-COMMENT
흑당 펄 콜드브루 라떼 나눔합니다,O O O O S-COMMENT
퍼스트 브레이크 잉글리시 브렉퍼스트 나눔합니다,O O O O S-COMMENT
오렌지 보스 루이보스 오렌지 나눔합니다,O O O O S-COMMENT
프루티 하동 머스캣 그린티 나눔합니다,O O O O S-COMMENT
클래식 햄 로제 리소토 나눔합니다,O O O O S-COMMENT
화이트 트러플 오일 크로크무슈 나눔합니다,O O O O S-COMMENT
치킨 살사 랩 샌드위치 나눔합니다,O O O O S-COMMENT
애플 시나몬 허니 브레드 나눔합니다,O O O O S-COMMENT
크런치 아몬드 초콜릿 브라운 나눔합니다,O O O O S-COMMENT
크런치 아몬드 초콜릿 다크 나눔합니다,O O O O S-COMMENT
카라멜 앤 치즈 팝콘 나눔합니다,O O O O S-COMMENT
피오르 디 라떼 젤라또 나눔합니다,O O O O S-COMMENT
스파이시 치킨 랜치 오리지널 나눔합니다,O O O O S-COMMENT
스파이시 치킨 랜치 골드링 나눔합니다,O O O O S-COMMENT
스파이시 치킨 랜치 치즈롤 나눔합니다,O O O O S-COMMENT
스파이시 치킨 랜치 씬 나눔합니다,O O O O S-COMMENT
핫 치킨 바베큐 오리지널 나눔합니다,O O O O S-COMMENT
핫 치킨 바베큐 골드링 나눔합니다,O O O O S-COMMENT
핫 치킨 바베큐 치즈롤 나눔합니다,O O O O S-COMMENT
핫 치킨 바베큐 씬 나눔합니다,O O O O S-COMMENT
비프 앤 에그 샌드위치 나눔합니다,O O O O S-COMMENT
오레오 쿠키 앤 밀크 나눔합니다,O O O O S-COMMENT
오레오 쿠키 앤 카라멜 나눔합니다,O O O O S-COMMENT
오레오 쿠키 앤 크림치즈 나눔합니다,O O O O S-COMMENT
리얼 망고 요거티 크러쉬 나눔합니다,O O O O S-COMMENT
망고 쥬얼리 자몽 크러쉬 나눔합니다,O O O O S-COMMENT
실크 리얼 망고 빙수 나눔합니다,O O O O S-COMMENT
브라운슈가 치즈폼 쿠키 밀크티 나눔합니다,O O O O S-COMMENT
브라운 슈가 치즈폼 스무디 나눔합니다,O O O O S-COMMENT
브라운 슈가 쥬얼리 밀크티 나눔합니다,O O O O S-COMMENT
커피 밀크티 크러쉬 펄 나눔합니다,O O O O S-COMMENT
커피 밀크티 크러쉬 밀크폼 나눔합니다,O O O O S-COMMENT
바닐라 크림 콜드 브루 나눔합니다,O O O O S-COMMENT
콜드 폼 콜드 브루 나눔합니다,O O O O S-COMMENT
단호박 라떼 위드 샷 나눔합니다,O O O O S-COMMENT
아이스 블랙 글레이즈드 라떼 나눔합니다,O O O O S-COMMENT
아이스 라벤더 카페 브레베 나눔합니다,O O O O S-COMMENT
아이스 스타벅스 돌체 라떼 나눔합니다,O O O O S-COMMENT
아이스 화이트 초콜릿 모카 나눔합니다,O O O O S-COMMENT
바닐라 스타벅스 더블 샷 나눔합니다,O O O O S-COMMENT
아이스 블론드 리스트레토 마키아또 나눔합니다,O O O O S-COMMENT
카라멜 스타벅스 더블 샷 나눔합니다,O O O O S-COMMENT
커피 스타벅스 더블 샷 나눔합니다,O O O O S-COMMENT
헤이즐넛 스타벅스 더블 샷 나눔합니다,O O O O S-COMMENT
이천 햅쌀 커피 프라푸치노 나눔합니다,O O O O S-COMMENT
화이트 초콜릿 모카 프라푸치노 나눔합니다,O O O O S-COMMENT
그린 티 크림 프라푸치노 나눔합니다,O O O O S-COMMENT
이천 햅쌀 크림 프라푸치노 나눔합니다,O O O O S-COMMENT
제주 까망 크림 프라푸치노 나눔합니다,O O O O S-COMMENT
제주 말차샷 크림 프라푸치노 나눔합니다,O O O O S-COMMENT
제주 쑥떡 크림 프라푸치노 나눔합니다,O O O O S-COMMENT
초콜릿 크림 칩 프라푸치노 나눔합니다,O O O O S-COMMENT
화이트 딸기 크림 프라푸치노 나눔합니다,O O O O S-COMMENT
망고 패션 후르츠 블렌디드 나눔합니다,O O O O S-COMMENT
매직 팝 스플래쉬 피지오 나눔합니다,O O O O S-COMMENT
블랙 티 레모네이드 피지오 나눔합니다,O O O O S-COMMENT
아이스 제주 유자 탱고티 나눔합니다,O O O O S-COMMENT
제주 유자 탱고 티 나눔합니다,O O O O S-COMMENT
그랜마 애플 블랙 티 나눔합니다,O O O O S-COMMENT
