question,label
가까운 단풍 여행지 추천해주면 좋겠어,travel
바닷가 타고 싶어,travel
가까운 시장 여행지 있죠,travel
동물원 여행지 추천해 봐요,travel
여행지 뭐 있어,travel
스트레스 풀릴 여행지,travel
사랑 받는 바닷가,travel
주변 산책 갈만한 데 있어,travel
시장 여행지 알려줘,travel
가까운 계곡 추천 좀 해줘 봐,travel
꽃놀이 정보 알려줘,travel
여행지 알려달라고,travel
단풍 놀이 여행지 어디,travel
꽃놀이 보고 싶어요,travel
가벼운 산책로,travel
유명한 스키장,travel
어디 여행지 가는게 좋을까,travel
전통놀이 배우려면 어떻게 해야돼,travel
맑은 계곡,travel
여행지 어디 갈 데 있어,travel
좋은 바닷가,travel
재밌는 축제 원해,travel
식물원 가고 싶은데 갈만한 곳 있어,travel
여행지 알려줘라,travel
가까운 단풍 여행지 보여주면 좋겠어,travel
많이 찾는 시장 구경,travel
여행지 어떨 것 같아,travel
가볼법한 여행지 보여줘요,travel
가까운 사찰 여행지 보여줬으면 해요,travel
축제 갈만한 곳 있어,travel
꽃구경 어때요,travel
문학관 여행지 궁금해요,travel
가봄직한 여행지 있을까요,travel
거리상 짧은 여행지,travel
풍경 좋은 산 있니,travel
배드민턴장 추천해 줘요,travel
유명한 박물관 여행지 있냐,travel
가까운 스키장 여행지 갈래,travel
놀이동산 여행지 있지,travel
유명한 놀이공원 있죠,travel
소풍 가고 싶은데 갈만한 여행지 띄워줘,travel
여행지 추천해 달라고요,travel
유명한 깨끗한 시장 여행지 어디 있을까,travel
축구장 어딨을까,travel
동물원 보여줘 봐,travel
가까운 동물원 여행지 어디 가야 하지,travel
가까운 시장 여행지 보여줘 봐,travel
여행지 어딨냐,travel
공기 상쾌한 여행지 보여주세요,travel
유명한 스키장 어디 있어,travel
가까운 야구장 여행지 알고 싶어요,travel
단풍구경 갈래,travel
사찰 여행지 가보고 싶어요,travel
가까운 동물원 여행지 어디 가야 할까요,travel
가까운 스키 여행지 어딘가요,travel
경기장 어디 있니,travel
벚꽃 축제 가봐야 하는데,travel
가봐야 하는 꽃놀이 여행지 알려주세요,travel
갈만한 절 있을까,travel
갈만한 시장 여행지 부탁합니다,travel
박물관 여행지 갈 데 없나요,travel
해수욕장 원한다,travel
가까운 스키 여행지 어디죠,travel
휴식 취할만한 관광지 어딨니,travel
여행지 띄워주었음 좋겠어,travel
비 오면 시장 여행 힘들텐데,travel
템플스테이 가고 싶네요,travel
생각없이 갈만한 놀이동산 알려주세요,travel
시장 원해,travel
테니스장 알고 싶네요,travel
추천할만한 놀이공원,travel
놀이공원 공연 추천 부탁해요,travel
경기장 없을까,travel
즐길만한 공연 가고 싶어,travel
가까운 식물원 어디 가야 할지 모르겠어요,travel
혹시 미술관 공연 있니,travel
성지순례 공연,travel
배구장 가고 싶네,travel
갈만한 등산 공연 알고 싶어요,travel
머리 식힐만한 공연 없나,travel
동물원 공연 알려줘 봐요,travel
등산해보고 싶은데 갈만한 곳,travel
유명한 산,travel
가볼 만한 놀이공원 알려줘,travel
꽃구경 장소 알려주세요,travel
자주 갈법한 공연 알려줘,travel
괜찮은 산책로,travel
추천할만한 야구 공연,travel
공연 띄워줘,travel
물놀이 원해 갈만한 곳,travel
식물원 알려줘 봐,travel
산 공연,travel
공연 알려주지 않을래,travel
단풍놀이 공연 갈래,travel
단풍놀이 공연 모두 알려주세요,travel
시장구경 어딜 가야 잘했다 할까,travel
괜찮은 시장 공연 추천해 줘,travel
갈만한 꽃놀이 공연 구경하고 싶다,travel
가까운 공연 추천해 줘,travel
워터파크 좀 알려줘,travel
갈만한 공연 있어야 하는데,travel
단풍 공연 추천해 주세요,travel
인기 좋은 등산로 없나요,travel
어디 공연 갈거니,travel
많이 찾는 꽃구경,travel
수영 할만한 곳 있니,travel
축구장 공연장,travel
너라면 어디 공연장 갈래,travel
유명한 계곡 공연장 있지,travel
재밌는 축제 원해요,travel
갈만한 등산 공연장 추천받고 싶어요,travel
경기장 구경하고 싶어,travel
박물관 공연장 갈 데 없나,travel
공연장 몰라서 문젠데,travel
갈만한 스키장 공연장 가보고 싶네요,travel
가까운 물놀이 빨리 말해요,travel
갈만한 산 말해주세요,travel
심심한데 산책 장소 있나,travel
가까운 등산 갈래,travel
가볍게 가볼만한 공연장 없을까,travel
축구 공연장 보여줘,travel
문학관 공연장 추천해 봐,travel
꽃 핀 곳 알려줘,travel
가까운 스키장 공연장 있나요,travel
꽃구경 하고 싶다,travel
꽃구경 어디 가야 잘했다 할까,travel
가기 좋은 계곡 추천해 줘,travel
분위기 있는 카페,travel
경기장 어디,travel
꽤 유명한 축제,travel
유명한 스키장 어디 있죠,travel
무서운 놀이동산 있나요,travel
어디 공연장 추천할래요,travel
문학관 공연장 궁금해,travel
갈만한 스키 여행지 말해주실래요,travel
갈만한 스키 여행지 보여주세요,travel
여행지 어디 있냐,travel
가까운 단풍놀이 여행지 알려주길 바래,travel
여행지 몰라서 문젠데요,travel
상쾌한 여행지,travel
인기많은 여행지,travel
시장 있나요,travel
갈만한 연극 여행지 알고 싶은데요,travel
당구장 띄워줘요,travel
가까운 수목원 어디인지 모르겠어,travel
시장 보고 싶다고요,travel
연극 보고 싶어,travel
가까운 계곡 추천 좀 해줘 봐요,travel
놀이동산 있어,travel
스키장 추천해 줘,travel
좋은 수영장 알려줄래,travel
추천해 주고 싶은 꽃놀이,travel
꽃구경 해보고 싶네,travel
여행지 띄워주겠니,travel
시간 가는줄 모르는 공연 있나요,travel
추천해봄직한 여행지 알려줘,travel
꽃구경 추천받고 싶네,travel
가까운 문학관 여행지 가보는 것 어때,travel
가까운 절 여행지 보여주길 바래요,travel
유명한 박물관 보여줘 봐,travel
보령 근처 가볼 만한 관광지 알려줘봐요,travel
쳥양 근처 구경하기 좋은 구경거리 보여줘,travel
부여군 근처 가볼 만한 곳 없니,travel
미추홀구 좋은데 있니,travel
연수구 가면 어디 갈까,travel
남동구 갈만한 곳 보여줘,travel
부평구 유명한 곳 어디 있니,travel
계양구 관광지 말씀해 주세요,travel
건대 근처 유명한 곳 있니,travel
가평 좋은 관광지 없나,travel
의정부 유명한 관광지 없나요,travel
양주 관광지 궁금해,travel
중구 구경거리 어디 있냐,travel
북구 관광지 추천해 주라,travel
춘천 관광 할만 한 구경거리 추천해 주세요,travel
전북 무주 갈만한 여행지 있을까,travel
경상도 놀기 좋은 구경거리 어디 있니,travel
서울 관광할만한 구경거리 알려줘,travel
전라도 가봐야 하는 구경거리 알려줘,travel
경기도 광주 여행지 추천해줘,travel
충청북도 가볼 만한 관광지 알려주세요,travel
충청도 가기 좋은 관광지 알려줘,travel
경상도 관광해볼 만한 관광지 어디 있냐,travel
서울 들려야 하는 여행지 알려줘,travel
전북 임실 여행지 있을까,travel
경상북도 들려야 하는 관광지 알려주라,travel
나주 유명한 여행장소 어디 있니,travel
전라도 구경할만한 관광지 알려주라,travel
여름 여행지 관광지 어디 있냐,travel
칠곡 유명한 구경거리 어디 있냐,travel
경상도 들러봐야 하는 구경거리 어디 있니,travel
청주 꼭 들려야 하는 여행지 추천해 줘,travel
안암 들러봐야 하는 관광지 알려줘,travel
경기도 들려야 하는 관광지 알려주세요,travel
죽전 꼭 가봐야 하는 관광지 알려주세요,travel
경기 안양 여행지 알려주세요,travel
철원 볼 만 한 구경거리 알고싶어,travel
충북 갈만 한 구경거리 추천해 줘,travel
충남 가기 좋은 관광지 어디 있니,travel
경상남도 구경 하기 좋은 구경거리 추천해 주라,travel
강원도 가기 좋은 관광지 알려주라,travel
경주 가까운 관광지 알려주세요,travel
진짜 꼭 들려야 하는 관광지 알려주라,travel
제주도 유명한 관광지 어디 좋을까,travel
제주 서귀포 여행 가는데 관광지 추천,travel
밀양 여행지 갈만한 곳 없을까,travel
아마 여행 갈 것 같은데 무주 여행지 추천,travel
나 여행 가는데 인천 진짜 좋은 여행지 없을까,travel
아마 다음 달 여행 가는데 여행지 있나,travel
청계천 여행할만한 관광지 알려주라,travel
구로구 놀만한 구경거리 추천해 줘,travel
강화도 볼만한 구경거리 추천해 주세요,travel
울릉도 갈만한 관광지 알려줄래,travel
동구 유명한 관광지 알고싶어,travel
서구 놀기 좋은 관광지 추천해 주라,travel
파주 관광할만한 구경거리 추천해 주라,travel
계룡 근처 한 관광지 알려줘,travel
수원 가까운 여행지 추천해 줘,travel
평택 들러봐야 하는 구경거리 알려주라,travel
금천구 가기 좋은 구경거리 알려주세요,travel
우도 가볼 만한 관광지 추천해 주라,travel
광명 꼭 들려야 하는 관광지 추천해 주라,travel
시흥 이번 여행 어디 갈지 추천,travel
아마 보령 여행 갈 것 같은데 어디 갈까,travel
다음 달 아마 충남 태안 놀러 가는데 어디 갈까,travel
청양 유명한 장소 어디 있니 궁금해,travel
공주 여행 어디 갈까,travel
포천 가면 어디 갈까,travel
이번 화천 여행 갈 것 같거든 어디 갈까,travel
서울 관광지 궁금하네 알려줘,travel
대구 관광지 알고 싶어,travel
광주 관광지 나한테 추천해 주겠니,travel
대전 관광지 알 수 있을까,travel
여수 유명한 놀 곳 있나,travel
창녕 여행지 어디 좋아,travel
연천 볼만한 거 뭐 있냐,travel
나 모레 포천 가는데 어디 갈까,travel
우리 내일 가평 가는데 어디 좋니,travel
나 이번 달 남자친구랑 놀러 가는데 어디 좋아,travel
우리 가을 여행 가는데 어디 갈만한 곳 없으려나,travel
완산구 뭐 있지 볼만한 거,travel
인사동 진짜 좋은 곳 알려주겠니,travel
갈만한 여행지 어디 있을까요,travel
모레 부산 가는데 추천해줘,travel
이번 주 여행 가는데 특히 광주 어디 갈까,travel
양구 괜찮은 곳 있니,travel
양양 이번 가는데 여행지 어디 추천할래,travel
나 모레 포천 가는데 괜찬은 곳 있냐,travel
내일 아마 울진 가거든 어디 좋니,travel
문산 갈만한 곳 보여줘,travel
경상남도 유명한 곳 어디 있니 내일 여행 가거든,travel
아마 나 모레 여행 갈듯 한데 대덕 어디 갈까,travel
송파구 놀만한 구경거리 어디 있니,travel
성동구 들러봐야 하는 구경거리 추천해 주라,travel
양천구 볼만한 구경거리 알고싶어,travel
동대문 꼭 들려야 하는 관광지 있을까 내일 가기 했거든,travel
남서울 진짜 좋은 명소 추천 좀 해줘,travel
강북구 꼭 들려야 하는 관광지 알려줄래,travel
중구 볼만한 관광지 알려주라,travel
오랜만 광주 여행한다 어디 갈지 말해줘,travel
간만 여행 가는데 인천 갈 것 같거든 관광지 추천 좀,travel
양천 구경 할만한 명소 알려줄래,travel
종로 가기 좋은 명소 알려주세요,travel
금천구 들려야 하는 명소 추천해 주라,travel
홍대 근처 구경하기 좋은 관광지 추천해 주라,travel
이대 근처 구경하기 좋은 명소 알고싶어,travel
건대 꼭 들려야 하는 관광지 알려줘,travel
종로구 놀만한 관광지 어디 있냐,travel
평창 관광할만한 명소 알려줘,travel
완주 가까운 관광지 알려주라,travel
여름 진천 관광지 어디 좋니,travel
모레 명소 추천해 주라,travel
내일모레 목포 가는데 관광지 알려줘,travel
아마 여행 갈 거 같으니까 관광지 추천,travel
나 친구랑 모레 놀러 가는데 서울 관광지 어디 추천,travel
근데 진짜 좋은 관광지 없을까,travel
그 때 갔던 관광지 추천,travel
가을 친구랑 아마 놀러 가는데 부산 관광지 어디 추천,travel
봄 진짜 좋은 관광지 없을까,travel
강원도 갈만한 관광지 추천,travel
영덕 명소 어디 있니,travel
겨울 관광지 알려줄래,travel
서산 명소 추천해 주세요,travel
서천 소문난 명소 알려줘,travel
이번 관광지 알려주라,travel
오늘 명소 알려줄래,travel
모레 명소 추천해 줘,travel
가을 관광지 알려주라,travel
봄 관광지 추천해 주라,travel
여름 강남 명소 알려줘,travel
가을 명소 추천해 주세요,travel
겨울 관광지 추천해 줘,travel
1월 관광지 어디 있냐,travel
2월 진천 관광지 어디 좋니,travel
3월 명소 추천해 주라,travel
4월 목포 가는데 관광지 알려줘,travel
5월 관광지 어디 있냐,travel
6월 오산 관광지 어디 좋니,travel
7월 좋은 곳 추천해 줘,travel
8월 관광지 어디 있을까요,travel
9월 부산 가는데 추천해줘,travel
10월 여행 어디 갈까,travel
11월 영광 제일 유명한 명소 알려줄래,travel
12월 어디 여행 명소 추천해줘,travel
영월 주변 진짜 유명한 명소 있을까,travel
1월 2일 명소 추천,travel
2월 8일 관광 명소 추천해줘,travel
3월 16일 어디 갈까,travel
4월 24일 제일 유명한 명소 알려줄래,travel
5월 3일 여행 장소 추천해줘,travel
6월 9일 진짜 유명한 명소 있을까,travel
놀기 좋은 스쿠버다이빙 휴양지 어디 있냐,travel
가까운 스케이트 여행지 어디 있니,travel
구경 할만 한 스파 여행지 추천해 주라,travel
들려 봐야 하는 등산 휴양지 추천해 줘,travel
가까운 골프 여행지 알려주세요,travel
갈만 한 운동 여행지 알려줘,travel
구경 하기 좋은 스포츠 휴양지 추천해 주세요,travel
가봐야 하는 벚꽃 놀이 휴양지 알려줘,travel
구경 할만 한 운동 휴양지 알고싶어,travel
구경 할만 한 해수욕장 여행지 어디 있니,travel
놀기 좋은 산악 자전거 휴양지 알려주라,travel
할만 한 해수욕장 휴양지 알려줄래,travel
가까운 운동 여행지 추천해 주라,travel
관광 할만 한 골프 휴양지 알려주라,travel
관광 할만 한 선탠 여행지 추천해 줘,travel
구경 하기 좋은 패러글라이딩 휴양지 알려주라,travel
가기 좋은 온천 휴양지 추천해 주라,travel
ㅇㅇ 좋은 골프 여행지 어디 있냐,travel
가봐야 하는 등산 여행지 알려주라,travel
구경 하기 좋은 선탠 휴양지 알고싶어,travel
해볼만 한 목욕 여행지 알려주라,travel
해볼만 한 벚꽃 놀이 휴양지 추천해 주세요,travel
꼭 들려야 하는 불꽃놀이 여행지 어디 있냐,travel
해볼만 한 물놀이 여행지 알려주세요,travel
꼭 들려야 하는 쇼핑 휴양지 추천해 주라,travel
가까운 패러글라이딩 휴양지 알려주세요,travel
할 수 있는 일광욕 휴양지 어디 있냐,travel
구경 할만 한 휴식 여행지 추천해 주라,travel
놀기 좋은 사우나 여행지 알려줘,travel
가까운 선탠 휴양지 추천해 주세요,travel
들려 봐야 하는 테니스 휴양지 추천해 줘,travel
그러면 꼭 들려야 하는 산책 여행지 알려주라,travel
구경 하기 좋은 등산 휴양지 알려줄래,travel
놀기 좋은 꽃놀이 여행지 알려주세요,travel
가봐야 하는 쇼핑 휴양지 알고싶어,travel
가까운 익스트림 스포츠 휴양지 어디 있냐,travel
할만 한 스파 여행지 알려줘,travel
관광 해볼만 한 래프트 휴양지 어디 있니,travel
가기 좋은 캠핑 휴양지 알고싶어,travel
할만 한 벚꽃 놀이 여행지 추천해 주세요,travel
그러면 구경 하기 좋은 온천 휴양지 어디 있니,travel
ㅇㅇ 좋은 단풍 구경 휴양지 알려줘,travel
갈만 한 스키 여행지 알려줄래,travel
가볼만 한 패러글라이딩 휴양지 추천해 주세요,travel
가봐야 하는 낚시 휴양지 추천해 주라,travel
구경 하기 좋은 테니스 휴양지 어디 있니,travel
갈만 한 요트 여행지 알려줄래,travel
그러면 해볼만 한 보드 여행지 어디 있니,travel
단풍 구경 하기 좋은 여행지 추천해 주세요,travel
그럼 하이킹 하기 좋은 여행지 알려주라,travel
익스트림 스포츠 하러 가기 좋은 여행지 알고싶어,travel
산악 자전거 하러 가기 좋은 여행지 알고싶어,travel
수영 하러 가기 좋은 휴양지 어디 있니,travel
쇼핑 휴양지 추천해 줘,travel
드라이브 하기 좋은 휴양지 알려주라,travel
해수욕장 하러 가기 좋은 휴양지 알고싶어,travel
드라이브 여행지 어디 있니,travel
그럼 온천 여행지 어디 있니,travel
산악 자전거 하러 가기 좋은 휴양지 어디 있냐,travel
스포츠 하러 가기 좋은 휴양지 추천해 주라,travel
온천 하기 좋은 휴양지 추천해 주라,travel
래프트 하러 가기 좋은 휴양지 어디 있냐,travel
하이킹 하러 가기 좋은 휴양지 알려주라,travel
캠핑 하기 좋은 여행지 알려주라,travel
일광욕 여행지 알고싶어,travel
온천 하기 좋은 휴양지 추천해 줘,travel
골프 여행지 추천해 줘,travel
사우나 하기 좋은 여행지 어디 있냐,travel
